YEAR,Month,Andhra Pradesh
1951,JAN,1.3
1951,FEB,0
1951,MAR,82.2
1951,APR,89.2
1951,MAY,158.1
1951,JUN,293.7
1951,JUL,615.8
1951,AUG,328.8
1951,SEP,320.8
1951,OCT,213.4
1951,NOV,112.5
1951,DEC,2.4
1952,JAN,0.2
1952,FEB,26.1
1952,MAR,7.5
1952,APR,43.4
1952,MAY,394.8
1952,JUN,177.9
1952,JUL,323.7
1952,AUG,308.2
1952,SEP,272.6
1952,OCT,415.4
1952,NOV,6
1952,DEC,193.9
1953,JAN,16.1
1953,FEB,0.9
1953,MAR,0.9
1953,APR,83.1
1953,MAY,48.7
1953,JUN,370
1953,JUL,447.3
1953,AUG,484.5
1953,SEP,562.3
1953,OCT,745.8
1953,NOV,42
1953,DEC,0.9
1954,JAN,9.7
1954,FEB,0.1
1954,MAR,27.4
1954,APR,20.3
1954,MAY,77.6
1954,JUN,251.5
1954,JUL,687.2
1954,AUG,434.8
1954,SEP,525.2
1954,OCT,502.4
1954,NOV,4.1
1954,DEC,99.8
1955,JAN,11.5
1955,FEB,1.1
1955,MAR,22.9
1955,APR,40.1
1955,MAY,342.1
1955,JUN,313.7
1955,JUL,427.6
1955,AUG,734.3
1955,SEP,496.4
1955,OCT,485.3
1955,NOV,147.7
1955,DEC,39.7
1956,JAN,9.7
1956,FEB,5.7
1956,MAR,1.5
1956,APR,96.8
1956,MAY,189.7
1956,JUN,421.7
1956,JUL,811.1
1956,AUG,355
1956,SEP,510
1956,OCT,663.1
1956,NOV,255
1956,DEC,63.7
1957,JAN,1.6
1957,FEB,7.1
1957,MAR,42.3
1957,APR,55.7
1957,MAY,95.3
1957,JUN,420
1957,JUL,405.6
1957,AUG,607.3
1957,SEP,334.8
1957,OCT,268.4
1957,NOV,134.6
1957,DEC,0.4
1958,JAN,10
1958,FEB,13
1958,MAR,19.7
1958,APR,68
1958,MAY,99.6
1958,JUN,174.1
1958,JUL,622.7
1958,AUG,712.5
1958,SEP,422.5
1958,OCT,623.5
1958,NOV,275.6
1958,DEC,21.1
1959,JAN,5.3
1959,FEB,20.3
1959,MAR,0.2
1959,APR,43.6
1959,MAY,68
1959,JUN,418.7
1959,JUL,651.9
1959,AUG,593
1959,SEP,441.6
1959,OCT,331.1
1959,NOV,69.2
1959,DEC,28.3
1960,JAN,2.3
1960,FEB,0.1
1960,MAR,53.2
1960,APR,13.3
1960,MAY,91.1
1960,JUN,357.6
1960,JUL,428.9
1960,AUG,171.9
1960,SEP,727.8
1960,OCT,207.7
1960,NOV,320.3
1960,DEC,23.9
1961,JAN,10.9
1961,FEB,35.6
1961,MAR,5.8
1961,APR,21.4
1961,MAY,123.9
1961,JUN,379.2
1961,JUL,619.1
1961,AUG,454.3
1961,SEP,316.8
1961,OCT,567.2
1961,NOV,166.6
1961,DEC,4.3
1962,JAN,3.3
1962,FEB,34.1
1962,MAR,9.5
1962,APR,120.4
1962,MAY,148.8
1962,JUN,228.6
1962,JUL,454.3
1962,AUG,525.6
1962,SEP,631.5
1962,OCT,659.3
1962,NOV,125.4
1962,DEC,156.4
1963,JAN,7.9
1963,FEB,0.3
1963,MAR,26.4
1963,APR,132.8
1963,MAY,65
1963,JUN,357.9
1963,JUL,375.9
1963,AUG,642.3
1963,SEP,284.3
1963,OCT,630.7
1963,NOV,32.2
1963,DEC,37.8
1964,JAN,0.5
1964,FEB,4.9
1964,MAR,3.4
1964,APR,11.1
1964,MAY,38.3
1964,JUN,265.9
1964,JUL,516
1964,AUG,462.9
1964,SEP,884.7
1964,OCT,184.1
1964,NOV,215.3
1964,DEC,15.8
1965,JAN,5.9
1965,FEB,2.5
1965,MAR,13.2
1965,APR,78.6
1965,MAY,50.5
1965,JUN,219.2
1965,JUL,528.9
1965,AUG,456.4
1965,SEP,440.9
1965,OCT,74.2
1965,NOV,81.3
1965,DEC,84.1
1966,JAN,71.9
1966,FEB,0.7
1966,MAR,4.4
1966,APR,25.7
1966,MAY,75.5
